235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Gummidipoondi,VIJAYAKUMAR  K S,89332,SEKAR C H,65937,,,BHASKARAN M,2092,GEETHA K,6585,MURALI KRISHNA M (A) SAMARAN,1282,SURESHKUMAR S,1250,SELVARAJ M,43055,,,,,,,,,None of the Above,1484,unknown,645,KANTHARAJ V C,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2537,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,43055,Desiya Murpokku Dravida Kazhagam,6585,Bharatiya Janata Party,Bahujan Samaj Party,23395,10.91%,Third,41.68%,30.76%,3.07%,0.98%,20.09%,0.58%,-16.65%,214348
Ponneri,BALARAMAN P,95979,PARIMALAM K DOCTOR,76643,,,GANESAN K,2067,,,RAJA S,1152,VINOTH BABU S,1620,PANDIAN A,9586,,,,,,,,,None of the Above,2284,unknown,696,,,SENTHIL KUMAR V,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2055,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,9586,Viduthalai Chiruthaigal Katchi,5566,Bharatiya Janata Party,Naam Tamilar Katchi,19336,9.78%,unknown,48.56%,38.78%,2.82%,1.05%,4.85%,0.82%,-2.88%,197648
Tiruttani,NARASIMHAN  P M,93045,,,CHIDAMBARAM A G,69904,CHAKRAVARTHY. M,5525,KRISHNAMURTHY D,15648,JAIBASKARAN S,1445,PRABU S,1077,VAITHILINGAM A,29596,,,,,,,,,None of the Above,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4093,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,29596,Desiya Murpokku Dravida Kazhagam,15648,Bharatiya Janata Party,Bahujan Samaj Party,23141,10.40%,Third,41.84%,31.43%,7.04%,2.48%,13.31%,0.48%,-16.33%,222409
Thiruvallur,BASKARAN A,75335,RAAJENDRAN V G,80473,,,SRINIVASAN K,1826,,,PREM SEKAR M,2171,SENTHIL KUMAR K,1451,BALAYOGI V,31935,,,,,,,,,None of the Above,1418,,,,,BALASUBRAMANI A,7006,SHANKAR K,703,ANANDANAYAGI A,417,SATHISH B,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3337,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,31935,Viduthalai Chiruthaigal Katchi,7006,Bahujan Samaj Party,Bharatiya Janata Party,5138,2.49%,Third,36.53%,39.02%,3.40%,0.89%,15.48%,0.70%,-21.96%,206244
Poonamallee,ELUMALAI T A,103952,PARANTHAMEN I,92189,,,AMARNATH A,3456,,,VIJAYABALAJI V,2066,PONNARASU A,2562,PARTHASARATHY C,15827,,,,,,,,,None of the Above,3265,,,,,,,,,,,,,KANDAN D,15051,PRATHAP R,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1268,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,15827,Marumalarchi Dravida Munnetra Kazhagam,15051,Bharatiya Janata Party,Naam Tamilar Katchi,11763,4.90%,Third,43.32%,38.41%,6.27%,1.44%,6.59%,1.07%,-13.37%,239987
Avadi,PANDIA RAJAN K,108064,NASAR S M,106669,,,LOGANATHAN J,7232,,,CHARLES S,1477,NALLATHAMBI S,4301,ANANDAKRISHNAN N,12428,,,,,,,,,None of the Above,4994,,,,,,,PONNUSAMY R,138,,,,,ANTHRIDOSS R,22848,,,ROWOTH PASARI,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2495,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,22848,Pattali Makkal Katchi,12428,Bharatiya Janata Party,Naam Tamilar Katchi,1395,0.52%,Third,39.92%,39.40%,8.44%,2.67%,4.59%,1.59%,-20.17%,270732
Maduravoyal,BENJAMIN P,99739,,,RAJESH R,91337,,,,,MOHAMED ABBAS S,807,VASU M,6181,SRINIVASAN N V,17328,ANANDAPRIYA R,4582,SRIRANGARAYAN G,274,,,,,None of the Above,6655,unknown,549,,,,,,,,,,,,,,,,,BEEMRAO G,19612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1533,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Communist Party of India  (Marxist),19612,Pattali Makkal Katchi,17328,Naam Tamilar Katchi,Indiya Jananayaka Katchi,8402,3.38%,Third,40.12%,36.74%,7.89%,1.84%,6.97%,2.49%,-19.76%,248597
Ambattur,ALEXANDER  V,94375,,,AASSAN MAULAANA,76877,DEVARAJAN  C,9563,CONSTANDINE RAVINDRAN J,16631,PRAKASH  C,456,ANBUTHENNARASAN  R,5044,SEKAR K N,16635,,,,,PALANIVEL K,403,,,None of the Above,5603,unknown,553,,,,,,,,,,,,,,,,,,,ABUBAKKAR M,479,RANGANATHAN  K,112,BALACHANDAR  M,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2802,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,16635,Desiya Murpokku Dravida Kazhagam,16631,Bharatiya Janata Party,Naam Tamilar Katchi,17498,7.62%,Fourth,41.10%,33.48%,7.24%,4.16%,7.24%,2.20%,-17.80%,229632
Madavaram,DHAKSHNAMOORTHY D,106829,SUDHARSANAM S,122082,,,JANAKIRAMAN R M R,5161,,,GIRI C,829,ELUMALAI R,3697,ERAVIRAJ G,14245,,,,,JANAKIRAMAN S,393,,,None of the Above,4291,unknown,573,,,,,,,,,,,,,,,,,,,,,,,,,KANNAN A S,9383,VINOTHKUMAR P,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,932,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,14245,Communist Party of India,9383,Bharatiya Janata Party,Naam Tamilar Katchi,15253,5.68%,Fourth,39.76%,45.43%,3.49%,1.92%,5.30%,1.38%,-9.14%,268718
Thiruvottiyur,BALRAJ.B,77342,SAMY.K.P.P,82205,,,SIVAKUMAR.M,3313,ARUMUGAM.A.V,13463,,,GOKUL.R,3961,VASANTHAKUMARI.R,4025,,,,,,,,,None of the Above,2917,,,NANDHAKUMAR.B,252,,,,,,,SUNDAR.D,100,,,KARNAN.P,425,,,,,,,,,SOWRI RAJAN.M,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1994,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,13463,Pattali Makkal Katchi,4025,Naam Tamilar Katchi,Bharatiya Janata Party,4863,2.56%,Third,40.69%,43.25%,7.08%,1.74%,2.12%,2.08%,-13.50%,190061
Dr.Radhakrishnan Nagar,JAYALALITHAA J,97218,SHIMLA MUTHUCHOZHAN,57673,,,RAJA M.N,2928,,,EDINBUROUGH J,327,DEVI G,2513,AGNES F,3011,,,,,,,,,None of the Above,2873,,,,,VASANTHI DEVI V,4195,,,,,SHANMUGANANDHAM M,42,,,VENUGOPAL D,162,,,,,,,,,ABRAHAM RAJAMOHAN.R,68,,,,,SADAIYANDI.E,132,RAVI PARAYANAR.D,125,SUBASH BABU M,55,MURUGAN M.R.,52,SURESHKUMAR S,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2599,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,4195,Pattali Makkal Katchi,3011,Bharatiya Janata Party,Naam Tamilar Katchi,39545,22.73%,unknown,55.87%,33.14%,2.41%,1.68%,1.73%,1.44%,11.74%,174015
Perambur,P VETRIVEL,79974,N R DHANAPALAN,79455,,,PRAKASH R,4582,,,N RAJ,363,S VETRI THAMIZHAN,3236,M.VENKATESH  PERUMAL,3685,,,,,,,,,None of the Above,3167,unknown,387,,,,,,,K VASANTHA KUMARI,54,,,,,S VENGADESAN,230,,,A SOUNDARA RAJAN,10281,,,,,,,,,,,,,,,,,,,M MAHENDRAN,100,K.MALLIKA,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3095,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),10281,Bharatiya Janata Party,4582,Pattali Makkal Katchi,Naam Tamilar Katchi,519,0.28%,Third,42.39%,42.11%,5.45%,2.43%,1.95%,1.72%,-15.23%,188681
Kolathur,J.C.D.PRABHAKAR,53573,M.K.STALIN,91303,,,K.T.RAGHAVAN,5289,P.MATHIVANAN,6276,C.VELAN,438,S.XAVIER FELIX,2827,S.GOPAL,3022,,,,,,,,,None of the Above,3554,unknown,112,,,,,M.VASANTHA KUMAR,60,,,S.ASHOK KUMAR,256,,,,,,,,,,,,,,,,,,,,,V. VIJAYAKUMARI,65,,,J.MOHANRAJ,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1473,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6276,Bharatiya Janata Party,5289,Pattali Makkal Katchi,Naam Tamilar Katchi,37730,22.42%,unknown,31.83%,54.25%,3.73%,3.14%,1.80%,1.68%,8.50%,168308
Villivakkam,M.RAJU,56651,B. RANGANATHAN,65972,,,M.JAISHANKAR,6438,T.PANDIYAN,8234,A.PALANIVEL,369,A.VAGAI VENTHAN,3002,V.SUBRAMANIAN,4193,,,,,,,,,None of the Above,3409,unknown,952,,,,,,,,,,,,,,,,,,,,,J JAGADESH,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,751,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,8234,Bharatiya Janata Party,6438,Pattali Makkal Katchi,Naam Tamilar Katchi,9321,6.21%,Fourth,37.75%,43.96%,5.49%,4.29%,2.79%,2.00%,-12.09%,150084
Thiru-Vi-Ka-Nagar,NEELAKANDAN V,58422,SIVAKUMAR P @ THAYAGAM KAVI,61744,,,,,,,SATHISH S,468,GOWRI,1831,VANITHAMANI D,2056,CHANDRASEKAR,482,,,,,,,None of the Above,2685,unknown,110,,,,,,,,,,,,,YUVARAJ V,201,,,SUGANTHI,5702,,,,,,,,,,,,,NAGESHRAO R,165,,,,,PRABHAKARAN K,157,,,PUSHPARAJ,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1502,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),5702,Pattali Makkal Katchi,2056,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,3322,2.43%,Third,42.82%,45.25%,4.18%,0.35%,1.51%,1.34%,-9.50%,136450
