Constituency Id,Constituency Name,Total,Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Indian National Congress,EVM Votes,PostalVotes,Communist Party of India,EVM Votes,PostalVotes,Communist Party of India  (Marxist),EVM Votes,PostalVotes,Viduthalai Chiruthaigal Katchi,EVM Votes,PostalVotes,Indian Union Muslim League,EVM Votes,PostalVotes,All India Anna Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Pattali Makkal Katchi,EVM Votes,PostalVotes,Bharatiya Janata Party,EVM Votes,PostalVotes,Naam Tamilar Katchi,EVM Votes,PostalVotes,Makkal Needhi Maiam,EVM Votes,PostalVotes,Indiya Jananayaka Katchi,EVM Votes,PostalVotes,Amma Makkal Munnettra Kazagam,EVM Votes,PostalVotes,Desiya Murpokku Dravida Kazhagam,EVM Votes,PostalVotes,All India Majlis-E-Ittehadul Muslimeen,EVM Votes,PostalVotes,SOCIAL DEMOCRATIC PARTY OF INDIA,EVM Votes,PostalVotes,None of the Above,EVM Votes,PostalVotes,Bahujan Samaj Party,EVM Votes,PostalVotes,Anaithu Makkal Arasiyal Katchi,EVM Votes,PostalVotes,Anna MGR Dravida Makkal Kalgam,EVM Votes,PostalVotes,Tamil Nadu Ilangyar Katchi,EVM Votes,PostalVotes,All India Jananayaka Makkal Kazhagam,EVM Votes,PostalVotes,My India Party,EVM Votes,PostalVotes,Tamilnadu Makkal Nalvazhvu Periyakkam,EVM Votes,PostalVotes,MGR Makkal Katchi,EVM Votes,PostalVotes,Nationalist Congress Party,EVM Votes,PostalVotes,Bahujan Dravida Party,EVM Votes,PostalVotes,Desiya Makkal Sakthi Katchi,EVM Votes,PostalVotes,Shiv Sena,EVM Votes,PostalVotes,Naadaalum Makkal Katchi,EVM Votes,PostalVotes,Samata Party,EVM Votes,PostalVotes,Makkal Nalvaazhvuk Katchi,EVM Votes,PostalVotes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),EVM Votes,PostalVotes,Republican Party of India (Athawale),EVM Votes,PostalVotes,United States of India Party,EVM Votes,PostalVotes,New Generation People’s Party,EVM Votes,PostalVotes,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,EVM Votes,PostalVotes,Makkalatchi Katchi,EVM Votes,PostalVotes,National Democratic Party of South India,EVM Votes,PostalVotes,Thamizhaga Munnetra Congress,EVM Votes,PostalVotes,Nam India Naam Indiyar Katchi,EVM Votes,PostalVotes,Valamaana  Tamizhagam   Katchi,EVM Votes,PostalVotes,Republican Party of India  (Sivaraj),EVM Votes,PostalVotes,Lok Jan Shakti Party,EVM Votes,PostalVotes,Tipu Sultan Party,EVM Votes,PostalVotes,Tamizhaga Murpokku Makkal Katchi,EVM Votes,PostalVotes,Rashtriya Janata Dal,EVM Votes,PostalVotes,Mahathma Makkal Munnetra Kazhakam,EVM Votes,PostalVotes,Jebamani Janata,EVM Votes,PostalVotes,Anna MGR Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Bhartiya Manavadhikaar Federal Party,EVM Votes,PostalVotes,Puthiya Tamilagam,EVM Votes,PostalVotes,Dravida Murpokku Makkal Katchi,EVM Votes,PostalVotes,Communist Party of India  (Marxist-Leninist)  (Liberation),EVM Votes,PostalVotes,Desiya Sirupanmayinar Makkal Iyakkam,EVM Votes,PostalVotes,Makkal Munnetra Peravai,EVM Votes,PostalVotes,Kamarajar Deseeya Congress,EVM Votes,PostalVotes,All Pensioner’s Party,EVM Votes,PostalVotes,All India Youth Development Party,EVM Votes,PostalVotes,Akhil Bharat Hindu Mahasabha,EVM Votes,PostalVotes,Anaithu Makkal Puratchi Katchi,EVM Votes,PostalVotes,Rashtriya Ulama Council,EVM Votes,PostalVotes,All India Uzhavargal Uzhaippalargal Katchi,EVM Votes,PostalVotes,Makkal Nala Kazhagam,EVM Votes,PostalVotes,Samaniya Makkal Nala Katchi,EVM Votes,PostalVotes,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,National People's Party,EVM Votes,PostalVotes,Samajwadi Party,EVM Votes,PostalVotes,Dhesiya Makkal Kazhagam,EVM Votes,PostalVotes,Anna Dravidar Kazhagam,EVM Votes,PostalVotes,Ganasangam Party of India,EVM Votes,PostalVotes,Anaithindia Samudaya Munnetra Kazhagam,EVM Votes,PostalVotes,MAKKAL SAKTHI KATCHI,EVM Votes,PostalVotes,All  India  Pattali  Munnetra Katchi,EVM Votes,PostalVotes,Indhia Kudiarasu Katchi,EVM Votes,PostalVotes,Ambedkarite Party of India,EVM Votes,PostalVotes,Tamilaga Makkal Thannurimai Katchi,EVM Votes,PostalVotes,Ahimsa Socialist Party,EVM Votes,PostalVotes,Manitha Urimaigal Kalaagam,EVM Votes,PostalVotes,Namathu Kongu Munnetra Kalagam,EVM Votes,PostalVotes,"Makkal Thilagam Munnetra Kazhagam,",EVM Votes,PostalVotes,India Dravida Makkal Munnetra Katchi,EVM Votes,PostalVotes,Kongu  Desa  Marumalarchi  Makkal  Katchi,EVM Votes,PostalVotes,All India Trinamool Congress,EVM Votes,PostalVotes,Ezhuchi Tamilargal Munnetra Kazhagam,EVM Votes,PostalVotes,Hindustan Janta Party,EVM Votes,PostalVotes,"Makkal Sananayaga Kudiyarasu Katchi,",EVM Votes,PostalVotes,Anaithu Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Rashtriya Samaj Paksha,EVM Votes,PostalVotes,Vidial Valarchi Perani,EVM Votes,PostalVotes,Akila India Vallalar Peravai,EVM Votes,PostalVotes,Janata Dal  (Secular),EVM Votes,PostalVotes,Ilantamilar Munnani Kazhagam,EVM Votes,PostalVotes,All India Samathuva Makhal Katchi,EVM Votes,PostalVotes,People's Party of India(secular),EVM Votes,PostalVotes,Namadhu Makkal Katchi,EVM Votes,PostalVotes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),EVM Votes,PostalVotes,Tamil Telugu National Party,EVM Votes,PostalVotes,Ambedkar Political Party,EVM Votes,PostalVotes,All India MGR Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Naam Indiar Party,EVM Votes,PostalVotes,Desa Makkal Munnetrak Kazhgam,EVM Votes,PostalVotes,South India Forward Bloc,EVM Votes,PostalVotes,Aanaithinthiya Jananayaka Pathukappu Kazhagam,EVM Votes,PostalVotes,Universal Brotherhood Movement,EVM Votes,PostalVotes,Anaithu Ulaga Tamilargal Munnetra Kalagam,EVM Votes,PostalVotes,Ulaga Makkal Katchi,EVM Votes,PostalVotes,Tamilnadu Mahatma Gandhi Makkal Katchi,EVM Votes,PostalVotes,ALL  IND,EVM Votes,PostalVotes,,,,
1,Gummidipoondi,222069,GOVINDARAJAN T.J,125001,1451,,,,,,,,,,,,,,,,,,,PRAKASH M,75004,510,,,,USHA,11643,58,,,,SARAVANAN V,813,3,,,,DILLIY K.M,2553,23,,,,,,,NOTA,1775,8,NAGARAJ S,1031,7,GOWTHAM J,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1922,13,,,,
2,Ponneri,210354,,,,DURAI. CHANDRASEKAR,93669,859,,,,,,,,,,,,,BALARAMAN. P,84534,305,,,,,,,MAHESWARI. A,18973,54,DESINGURAJAN. D,5372,22,,,,PON. RAJA,2813,19,,,,,,,,,,NOTA,1551,3,BHAVANI ILAVENIL. J,1102,4,,,,VIJAYAKUMAR. V,189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,884,0,,,,
3,Tiruttani,232624,S.Chandran,118005,2309,,,,,,,,,,,,,,,,G.Hari,89704,1357,,,,,,,L.AKILA,11900,107,,,,M.D.Thanigai Malai,352,1,,,,D.Krishnamoorthi,3903,25,,,,,,,NOTA,1653,12,N.MAGENDIRAN,711,6,,,,,,,,,,Manikkam,121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2437,21,,,,
4,Thiruvallur,214243,"RAAJENDRAN, V.G.",106316,1393,,,,,,,,,,,,,,,,"RAMANAH, BE VEE",84508,500,,,,,,,"PASUPATHY, P.",14943,85,,,,,,,"GURU, N.",1072,5,,,,,,,,,,NOTA,1857,15,"DOSS, D.",2314,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1214,6,,,,
5,Poonamallee,263736,Krishnaswamy A,148383,1195,,,,,,,,,,,,,,,,,,,Rajamannar S X,55249,219,,,,Manimekalai A,29804,67,Revathi Manimegalai J,11877,50,,,,Elumalai T.A.,8771,34,,,,,,,,,,NOTA,2849,18,Sathyamurthy A C,2880,11,,,,,,,,,,,,,Boshya Gayathri M,288,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2037,2,,,,
6,Avadi,300927,Nasar S M,148845,1442,,,,,,,,,,,,,,,,Pandiarajan K,94331,681,,,,,,,VIJAYALAKSHMI G,29953,134,Udhayakumar V,16982,110,,,,,,,Sankar N M,1895,16,,,,,,,NOTA,2361,20,CHARLES S,763,10,,,,,,,Balasubramanian M,1251,12,,,,Banumathi,126,1,Raman N,120,0,Viswanathan R,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1759,7,,,,
7,Maduravoyal,273870,GANAPATHY.K,120441,857,,,,,,,,,,,,,,,,BENJAMIN.P,89313,264,,,,,,,GANESHKUMAR.G,20999,46,PADMA PRIYA.S,33310,91,,,,LUCKY MURUGAN.E,2648,12,,,,,,,,,,NOTA,2137,9,SANTHAKUMAR.Y,622,6,NEVIS STELLA MARY.B,124,0,MUTHURAMAN.S,69,0,SHANMUGAM.K,906,2,,,,,,,,,,,,,LAVANYA.P,348,1,SUMITHRA.R,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1599,2,,,,
8,Ambattur,240299,JOSEPH SAMUEL,113371,1183,,,,,,,,,,,,,,,,V ALEXANDER,71908,500,,,,,,,R ANBU THENARASAN,22638,63,S VAITHESWARAN,22286,84,,,,S VEDHACHALAM,2616,15,,,,,,,,,,NOTA,2332,26,,,,S Veena,231,2,,,,,,,,,,,,,,,,,,,R Radha,613,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2415,14,,,,
9,Madavaram,302700,SUDHARSANAM. S,150654,831,,,,,,,,,,,,,,,,Moorthy. V,94206,208,,,,,,,ELUMALAI. R,27411,42,RAMESH,15838,39,,,,DHAKSHNAMOORTHY. D,7088,16,,,,,,,,,,NOTA,2161,5,DEEPAK. S,1390,3,,,,YUVARAJ. M,81,0,,,,,,,,,,,,,,,,,,,,,,ARAVIND KUMAR. P,465,0,SAMBATH. E,175,0,VINOTH KUMAR. M,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1968,5,,,,
10,Thiruvottiyur,199996,K.P.SHANKAR,87703,482,,,,,,,,,,,,,,,,K.KUPPAN,50435,89,,,,,,,SEEMAN,48497,100,D.MOHAN,7025,28,,,,M.SOUNDARA PANDIAN,1413,4,,,,,,,,,,NOTA,1106,5,M.KOTTESWARAN,367,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.EGAVALLI,253,0,D.SASIRAJ,291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2195,3,,,,
